"Translation ID";"Description";"fi-FI";"eu-ES";"hr-HR";"th-TH";"nl-NL";"ru-RU";"es-ES";"ro-RO";"pt-PT";"sl-SI";"et-EE";"de-DE";"pt-BR";"hy-AM";"nb-NO";"gl-ES";"fa-IR";"cs-CZ";"id-ID";"ta-IN";"en-US";"el-GR";"ja-JP";"sr-Latn-RS";"hi-IN";"ca-ES";"zh-CN";"sk-SK";"hu-HU";"ko-KR";"ar-AE";"he-IL";"tr-TR";"sv-SE";"uk-UA";"ga-IE";"fr-FR";"bn-IN";"pl-PL";"lt-LT";"vi-VN";"it-IT"
"newVerificationRequest";"";"Uusi varmennuspyyntö!";"";"Novi zahtjev za potvrđivanje!";"";"Nieuw verificatieverzoek!";"Новый запрос на подтверждение!";"¡Nueva solicitud de verificación!";"Cerere de verificare nouă!";"";"";"Uus verifitseerimispäring!";"Neue Verifikationsanfrage!";"Nova solicitação de verificação!";"";"Ny bekreftelsesforespørsel!";"Nova solicitude de verificación!";"درخواست تایید جدید!";"Nová žádost o ověření!";"Permintaan verifikasi baru!";"";"New verification request!";"";"新しい認証リクエスト！";"Нови захтев за верификацију!";"";"Nova sol·licitud de verificació!";"新的验证请求！";"Nová žiadosť o verifikáciu!";"Új hitelesítési kérelem!";"새로운 확인 요청!";"طلب تحقق جديد!";"בקשת אימות חדשה!";"Yeni doğrulama isteği!";"Ny verifikationsbegäran!";"Новий запит перевірки!";"Iarratas fíoraithe nua!";"Nouvelle demande de vérification !";"";"Nowa prośba o weryfikację!";"Nauja patvirtinimo užklausa";"";"Nuova richiesta di verifica!"
"next";"";"Seuraava";"Hurrengoa";"Dalje";"";"Volgende";"Далее";"Siguiente";"Următor";"";"";"Edasi";"Weiter";"Próximo";"";"Neste";"Seguinte";"بعدی";"Další";"Lanjut";"";"Next";"";"次へ";"Следеће";"";"Següent";"下一步";"";"Következő";"다음";"التالي";"הבא";"İleri";"Nästa";"Далі";"Ar Aghaidh";"Suivant";"";"Dalej";"Toliau";"Tiếp";"Avanti"
"nextAccount";"";"Seuraava tili";"Hurrengo kontua";"Sljedeći račun";"";"Volgende account";"Следующая учётная запись";"Siguiente cuenta";"Contul următor";"";"";"Järgmine kasutajakonto";"Nächster Account";"Próxima conta";"";"";"Conta seguinte";"حساب بعدی";"Další účet";"Akun berikutnya";"";"Next account";"";"次のアカウント";"";"";"";"下个账户";"";"";"";"الحساب التالي";"";"Sonraki hesap";"Nästa konto";"Наступний обліковий запис";"";"Compte suivant";"";"Następne konto";"Kita paskyra";"";""
"no";"";"Ei";"";"Ne";"";"Nee";"Нет";"No";"Nu";"";"";"Ei";"Nein";"Não";"";"Nei";"Non";"نه";"Ne";"Tidak";"";"No";"";"いいえ";"Не";"";"No";"不";"";"Nem";"아니요";"لا";"לא";"Hayır";"Nej";"Ні";"Níl";"Non";"";"Nie";"Ne";"";"No"
"noBackupWarning";"";"Varoitus! Ilman avainvarmuuskopion käyttöönottoa menetät pääsyn salattuihin viesteihisi. Suosittelemme ehdottomasti avainvarmuuskopion käyttöönottoa ennen uloskirjautumista.";"Adi! Txataren babeskopia gaitzen ez baduzu, ezingo dituzu zifratutako txatak atzitu. Oso gomendagarria da txaten babeskopia gaitzea saioa amaitu baino lehen.";"Upozorenje! Bez aktiviranja spremanja sigurnosne kopije razgovora, izgubit ćeš pristup tvojim šifriranim porukama. Preporučujemo spremanje sigurnosne kopije razgovora prije odjave.";"";"Waarschuwing! Zonder de chatback-up in te schakelen, verlies je de toegang tot je versleutelde berichten. Het is sterk aanbevolen om eerst de chatback-up in te schakelen voordat je uitlogt.";"Внимание! Без резервных копий, Вы потеряете доступ к своим зашифрованным сообщениям. Крайне рекомендуется включить резервные копии перед выходом.";"";"Avertisment! Fără să activați backup de chat, veți pierde accesul la mesajele voastre criptate. E foarte recomandat să activați backup de chat înainte să vă deconectați.";"";"";"Hoiatus! Kui sa ei lülita sisse vestluse varundust, siis sul puudub hiljem ligipääs krüptitud sõnumitele. Me tungivalt soovitame, et palun lülita vestluse varundamine sisse enne väljalogimist.";"Achtung! Ohne Aktivierung des Chat-Backups verlierst du den Zugriff auf deine verschlüsselten Nachrichten. Vor dem Ausloggen wird dringend empfohlen den Chat-Backup zu aktivieren.";"";"";"";"Aviso! Se non activas a copia de apoio do chat, perderás o acceso ás túas mensaxes cifradas. É totalmente recomendable activar a copia de apoio do chat antes de pechar a sesión.";"هشدار! بدون فعال کردن پشتیبان گپ، دسترسی به پیام های رمزگذاری شده خود را از دست خواهید داد. قویا توصیه می‌شود قبل از خروج از سیستم، ابتدا پشتیبان‌گیری گپ را فعال کنید.";"";"Peringatan! Tanpa mengaktifkan cadangan percakapan, kamu akan kehilangan akses ke pesan terenkripsimu. Disarankan untuk mengaktifkan cadangan percakapan terlebih dahulu sebelum keluar dari akun.";"";"Warning! Without enabling chat backup, you will lose access to your encrypted messages. It is highly recommended to enable the chat backup first before logging out.";"";"警告！チャットのバックアップを有効にしないと、暗号化されたメッセージにアクセスできなくなります。ログアウトする前に、まずチャットのバックアップを有効にすることを強くお勧めします。";"";"";"";"";"";"";"";"تحذير! بدون تمكين النسخ الاحتياطي للدردشة ، ستفقد الوصول إلى رسائلك المشفرة. يوصى بشدة بتمكين النسخ الاحتياطي للدردشة أولاً قبل تسجيل الخروج.";"";"Uyarı! Sohbet yedeklemesini etkinleştirmezseniz, şifrelenen mesajlarınıza erişiminizi kaybedersiniz. Oturumu kapatmadan önce sohbet yedeklemesini etkinleştirmeniz önemle tavsiye edilir.";"Varning! Om du inte aktiverar säkerhetskopiering av chattar så tappar du åtkomst till krypterade meddelanden. Det är rekommenderat att du aktiverar säkerhetskopiering innan du loggar ut.";"Увага! Якщо ви не ввімкнете резервне копіювання бесіди, ви втратите доступ до своїх зашифрованих повідомлень. Наполегливо радимо ввімкнути резервне копіювання бесіди перед виходом.";"";"Attention ! Sans l'activation de la sauvegarde de la discussion, vous perdrez l'accès à vos messages chiffrés. Il est fortement recommandé d'activer la sauvegarde de la discussion avant de se déconnecter.";"";"Uwaga! Bez włączenia kopii zapasowej czatu, stracisz dostęp do swoich zaszyfrowanych wiadomości. Zaleca się włączenie kopii zapasowej czatu przed wylogowaniem.";"";"";""
"noConnectionToTheServer";"";"Ei yhteyttä palvelimeen";"Ez dago konexiorik zerbitzariarekin";"Ne postoji veza s poslužiteljem";"";"Geen verbinding met de server";"Нет соединения с сервером";"Sin conexión al servidor";"Fără conexiune la server";"";"";"Puudub ühendus koduserveriga";"Keine Verbindung zum Server";"Sem conexão com o servidor";"";"Ingen tilkobling til tjeneren";"Sen conexión co servidor";"عدم اتصال به سرور";"Žádné připojení k serveru";"Tidak ada koneksi ke server";"";"No connection to the server";"";"サーバーに接続できません";"Нема везе са сервером";"";"Sense connexió al servidor";"未与服务器建立连接";"";"Nem elérhető a szerver";"서버에 연결 없음";"انقطع الاتصال بالخادم";"אין חיבור לשרת";"Sunucuyla bağlantı yok";"Ingen anslutning till servern";"Немає з'єднання з сервером";"Gan aon nasc leis an bhfreastalaí";"Aucune connexion au serveur";"";"Brak połączenia z serwerem";"Nėra ryšio su serveriu";"";"Nessuna connessione al server"
"noCrossSignBootstrap";"";"REChain.Online ei tällä hetkellä tue ristiinallekirjoituksen todennusta. Ota se sen sijaan käyttöön REChain 🪐.";"";"REChain.Online trenutno ne podržava unakrsno potpisivanje. Umjesto toga, omogućite ga unutar REChain 🪐.";"";"REChain.Online biedt momenteel geen ondersteuning voor het inschakelen van cross-signing. Schakel het in binnen de REChain 🪐.";"REChain.Online в настоящее время не поддерживает включение кросс-подписи. Пожалуйста, включите её в REChain 🪐.";"REChain.Online actualmente no admite el cifrado de firmas de firma cruzada. Habilítelo en REChain 🪐 en su lugar.";"";"";"";"REChain.Online ei toeta praegu ristallkirjastamise tuvastamist. Selle asemel lubage see REChain 🪐.";"REChain.Online unterstützt derzeit nicht die Aktivierung der Cross-Signing-Authentifizierung. Bitte aktivieren Sie es stattdessen innerhalb der REChain 🪐.";"REChain.Online atualmente não suporta a ativação de assinatura cruzada. Habilite-o no REChain 🪐.";"";"Slå på spredning av tillit i REChain 🪐 i stedet.";"REChain.Online non admite actualmente a activación de sinatura cruzada. No seu lugar, actívao dentro de REChain 🪐.";"";"REChain.Online aktuálně nepodporuje aktivaci podpisu křížového podpisu. Místo toho jej povolte v rámci REChain 🪐.";"REChain.Online saat ini tidak mendukung penandatanganan silang. Harap aktifkan di dalam REChain 🪐.";"";"REChain.Online currently does not support enabling Cross-Signing. Please enable it from within REChain 🪐.";"";"REChain.Onlineは現在、相互署名機能をサポートしていません。 REChain 🪐内で有効にしてください。";"РЕЦхаин.Онлине тренутно не подржава унакрсно потписивање. Омогућите га у оквиру РЕЦхаин-а 🪐.";"";"REChain.Online actualment no admet l'habilitació de l'autenticació de signatura creuada. Si us plau, activeu-lo dins de REChain 🪐.";"REChain.Online 目前不支持启用交叉签名。请在 REChain 🪐 中启用它。";"РЕЦхаин.Онлине тренутно не подржава доношење потписа крста. Омогућите га у оквиру РЕЦхаина 🪐.";"A REChain.Online jelenleg nem támogatja az eszközök közötti kereszt-aláírást. Kérjük, engedélyezze a REChain 🪐.";"REChain.Online은 현재 교차 서명 활성화를 지원하지 않습니다. REChain 🪐 내에서 활성화하십시오.";"";"REChain.Online אינו תומך כרגע בהפעלה של חתימות צולבות. אנא הפעל זאת בתוך REChain 🪐 במקום זאת.";"REChain.Online, şu anda çapraz imzayı etkinleştirmeyi desteklememektedir. Lütfen REChain 🪐 içinde etkinleştirin.";"REChain.Online stöder för närvarande inte aktiverad korssignering. Vänligen aktivera det från REChain 🪐.";"REChain.Online зараз не підтримує увімкнення перехресного підписування. Увімкніть його з REChain 🪐.";"Níl síniú tras-shínithe ar fáil ar Ardán REChain.Online ag an am seo. Cuir ar chumas é laistigh den REChain 🪐 ina ionad.";"REChain.Online ne prend pas en charge l'activation de la signature croisée pour le moment. Veuillez l'activer dans la REChain 🪐 à la place.";"";"";"REChain.Online šiuo metu nepalaiko kryžminio pasirašymo įgalinimo. Įgalinkite jį naudodami REChain 🪐.";"";"REChain.Online attualmente non supporta l'abilitazione della firma incrociata. Abilitalo invece all'interno di REChain 🪐."
"noDescription";"";"Ei kuvausta";"Ez dago deskribapenik";"Bez opisa";"";"Geen omschrijving";"Нет описания";"Sin descripción";"";"";"";"Kirjeldus puudub";"Keine Beschreibung";"Sem descrição";"";"Ingen beskrivelse";"Sen descrición";"";"Bez popisu";"Tidak ada deskripsi";"";"No description";"";"説明がありません";"Нема описа";"";"Cap descripció";"没有说明";"";"Nincs leírás";"설명 없음";"بدون وصف";"אין תיאור";"Açıklama yok";"Ingen beskrivning";"Без опису";"Gan cuntas";"Pas de description";"";"";"Nėra aprašymo";"";"Nessuna descrizione"
"noEmailWarning";"";"Syötä oikea sähköposti-osoite. Muutoin et voi palauttaa salasanaasi. Jollet halua, paina näppäintä uudelleen jatkaaksesi.";"Sartu baliozko posta helbide bat. Bestela ezingo duzu pasahitza berrezarri. Hala ere nahi ez baduzu, sakatu berriro botoia aurrera egiteko.";"Upiši valjanu e-mail adresu. U suprotnom nećeš moći ponovo postaviti lozinku. Ako to ne želiš, ponovo dodirni gumb i nastavi.";"";"Voer een geldig e-mailadres in. Anders kan je je wachtwoord niet opnieuw instellen. Als je dat niet wilt, tik je nogmaals op de knop om door te gaan.";"Пожалуйста, введите действительный адрес электронной почты. В противном случае вы не сможете сбросить пароль. Если вы не хотите этого делать, нажмите еще раз на кнопку, чтобы продолжить.";"";"Vă rugăm să introduceți o adresă de email valibilă. Altfel nu veți putea reseta parola. Dacă totuși nu doriți să introduceți, apăsați din nou pe buton să continuați.";"";"";"Palun sisesta korrektne e-posti aadress. Vastasel juhul ei saa te oma salasõna taastada. Kui te seda ei soovi, siis jätkamiseks klõpsige nuppu uuesti.";"Bitte gib eine gültige E-Mail-Adresse ein. Andernfalls kannst du dein Passwort nicht zurücksetzen. Wenn du das nicht möchtest, tippe erneut auf die Schaltfläche, um fortzufahren.";"Por favor, insira um e-mail válido. De outro modo, você não conseguirá recuperar sua senha. Caso prefira assim, toque novamente no botão para continuar.";"";"";"Escribe un enderezo de email válido. Doutro xeito non poderás restablecer o contrasinal. Se non queres, toca outra vez no botón para continuar.";"لطفا یک نشانی رایانامه(ایمیل) معتبر وارد کنید. در غیر این صورت قادر نخواهید بود رمز عبورتان را بازنشانی کنید. اگر مایل به اینکار نیستید، برای ادامه دادن، یک ضربه دیگر به دکمه بزنید.";"Prosím zadejte platnou emailovou adresu. V opačném případě nebudete moci obnovit heslo. Pokud nechcete, pokračujte dalším klepnutím na tlačítko.";"Mohon tambahkan sebuah alamat email. Atau kamu tidak akan dapat mengatur ulang kata sandimu. Jika kamu tidak ingin, ketuk lagi untuk melanjitkan.";"";"Please enter a valid email address. Otherwise you won't be able to reset your password. If you don't want to, tap again on the button to continue.";"";"有効なメールアドレスを入力してください。入力しないと、パスワードをリセットすることができなくなります。不要な場合は、もう一度ボタンをタップして続けてください。";"";"";"";"请输入有效电子邮件地址。否则你将无法重置密码。如果你不想输入邮件地址，再次轻点按钮以继续。";"";"";"";"الرجاء إدخال عنوان بريد إلكتروني صالح. وإلا فلن تتمكن من إعادة تعيين كلمة المرور الخاصة بك. إذا كنت لا ترغب في ذلك ، فانقر مرة أخرى على الزر للمتابعة.";"";"Lütfen geçerli bir e-posta adresi girin. Aksi takdirde parolanızı sıfırlayamazsınız. İstemiyorsanız, devam etmek için düğmeye tekrar dokunun.";"Utan en giltig e-postadress kommer du inte kunna återställa ditt lösenord. Om du inte vill ange en e-postadress, tryck på knappen igen för att fortsätta.";"Введіть справжню адресу електронної пошти. В іншому випадку ви не зможете скинути пароль. Якщо ви цього не хочете, торкніться кнопки ще раз, щоб продовжити.";"";"Veuillez saisir une adresse électronique valide. Sinon, vous ne pourrez pas réinitialiser votre mot de passe. Si vous ne voulez pas le faire, appuyez à nouveau sur le bouton pour continuer.";"";"Wprowadź prawidłowy adres e-mail. W przeciwnym razie resetowanie hasła nie będzie możliwe. Jeśli nie chcesz, dotknij ponownie przycisku, aby kontynuować.";"Įveskite galiojantį el. pašto adresą. Priešingu atveju negalėsite iš naujo nustatyti slaptažodžio. Jei nenorite, dar kartą bakstelėkite mygtuką, kad galėtumėte tęsti.";"";""
"noEmotesFound";"";"Emoteja ei löytynyt. 😕";"";"Nema emotikona. 😕";"";"Geen emoticons gevonden. 😕";"Эмодзи не найдены 😕";"Ningún emote encontrado. 😕";"Nu s-a găsit nici un emote. 😕";"";"";"Ühtegi emotsioonitegevust ei leidunud. 😕";"Keine Emoticons gefunden. 😕";"Nenhum emoji encontrado. 😕";"";"Fant ingen smilefjes. 😕";"Non hai emotes. 😕";"هیچ شکلکی پیدا نشد. 😕";"Nebyly nalezeny žádné emotikony. 😕";"Tidak ada emote yang ditemukan. 😕";"";"No emotes found. 😕";"";"Emoteは見つかりませんでした😕";"Нема емотија. 😕";"";"No s’ha trobat cap emoticona. 😕";"未找到表情。😕";"Nenašli sa žiadne emotikony. 😕";"Nincsenek hangulatjelek. 😕";"이모트 발견되지 않음. 😕";"لم يُعثر على انفعالة. 😕";"";"İfade bulunamadı. 😕";"Hittade inga dekaler. 😕";"Емоджі не знайдено. 😕";"Níor aimsíodh aon straoiseoga. 😕";"Aucune émoticône trouvée. 😕";"";"Nie znaleziono żadnych emotek. 😕";"Nerasta emotes. 😕";"";"Nessun emote trovato. 😕"
"noEncryptionForPublicRooms";"";"Voit ottaa salauksen käyttöön vasta kun huone ei ole julkisesti liityttävissä.";"Zifraketa aktiba dezakezu soilik gela publikoa ez bada.";"Šifriranje možeš aktivirati samo nakon što soba više nije javno dostupna.";"";"Je kunt de versleuteling pas activeren zodra de kamer niet meer openbaar toegankelijk is.";"Вы можете активировать шифрование только тогда, когда комната перестает быть общедоступной.";"Sólo se puede activar el cifrado en cuanto la sala deja de ser de acceso público.";"Criptare nu poate fi activată până când camera este accesibilă public.";"";"";"Sa võid krüptimise kasutusele võtta niipea, kui jututuba pole enam avalik.";"Du kannst die Verschlüsselung erst aktivieren, sobald dieser Raum nicht mehr öffentlich zugänglich ist.";"Você só pode ativar criptografia quando a sala não for mais publicamente acessível.";"";"";"Só podes activar o cifrado tan pronto como a sala non sexa públicamente accesible.";"فقط زمانی می‌توانید رمزگذاری را فعال کنید که اتاق، دیگر در دسترس عموم نباشد.";"Můžete aktivovat šifrování jakmile místnost přestane být veřejně dostupná.";"Anda hanya dapat mengaktifkan enkripsi setelah ruangan tidak lagi dapat diakses secara publik.";"";"You can only activate encryption as soon as the room is no longer publicly accessible.";"";"ルームを非公開にした後暗号化を有効にできます。";"Шифровање се може активирати након што соба престане да буде јавно доступна.";"";"Només podreu activar el xifratge quan la sala ja no sigui accessible públicament.";"您只能在聊天室不可被公众访问时才能启用加密。";"";"Csak akkor kapcsolható be a titkosítás, ha a szoba nem nyilvánosan hozzáférhető.";"당신은 방이 공개적으로 접근 가능하지 않을 때만 암호화를 켤 수 있습니다.";"يمكنك فقط تفعيل التشفير عندما تصبح الغرفة غير متاحة للعامة.";"אתה יכול להפעיל הצפנה רק כשהחדר כבר לא נגיש לציבור.";"Şifrelemeyi yalnızca oda artık herkese açık olmadığında etkinleştirebilirsiniz.";"Du kan endast aktivera kryptering när rummet inte längre är publikt tillgängligt.";"Активувати шифрування можна лише тоді, коли кімната більше не буде загальнодоступною.";"Ní féidir leat criptiú a ghníomhachtú ach a luaithe nach bhfuil an seomra inrochtana go poiblí a thuilleadh.";"Vous pouvez activer le chiffrement seulement quand le salon n'est plus accessible au public.";"";"Możesz aktywować szyfrowanie dopiero kiedy pokój nie będzie publicznie dostępny.";"Šifravimą galite suaktyvinti tik tada, kai kambarys nebebus viešai pasiekiamas.";"Bạn chỉ có thể kích hoạt mã hoá khi phòng này không mở";"Puoi attivare la crittografia solo quando la stanza non è più accessibile pubblicamente."
"noGoogleServicesWarning";"";"Näyttää siltä, että puhelimessasi ei ole Google-palveluita. Se on hyvä päätös yksityisyytesi kannalta! Jos haluat vastaanottaa push-ilmoituksia REChain.Online-alustalta, suosittelemme käyttämään https://microg.org/ tai https://unifiedpush.org/.";"";"Čini se da nemate Googleove usluge na svom telefonu. To je dobra odluka za vašu privatnost! Preporučujemo korištenje https://microg.org/ ili https://unifiedpush.org/ za automatsko primanje push obavijesti s REChain.Online platforme!";"";"Het lijkt erop dat je geen Google-services op je telefoon hebt staan. Dat is een goede beslissing voor uw privacy! Om pushmeldingen van het REChain.Online Platform te ontvangen, raden we u aan https://microg.org/ of https://unifiedpush.org te gebruiken.";"Похоже, у вас нет служб Google на вашем телефоне. Это хорошее решение для вашей конфиденциальности! Для получения push-уведомлений на платформе REChain.Online мы рекомендуем использовать https://microg.org/ или https://unifiedpush.org/.";"Parece que no tienes ningún servicio de Google en tu teléfono. ¡Esa es una buena decisión para su privacidad! Para recibir notificaciones push de la plataforma REChain.Online, recomendamos usar microG: https://microg.org/";"Se pare că nu aveți serviciile Google pe dispozitivul vostru. Această decizie este bună pentru confidențialitatea voastră! Să primiți notificari push în REChain 🪐 vă recomandăm https://microg.org/ sau https://unifiedpush.org/.";"";"";"Näib, et teie nutitelefonis pole ühtegi Google'i teenust. Teie privaatsust silmas pidades on see kindlasti hea otsus! Kui soovite näha platvormi REChain.Online tõukemärguandeid, soovitame kasutada https://microg.org või https://unifiedpush.org liidest.";"Anscheinend haben Sie keine Google-Dienste auf Ihrem Gerät. Dies ist eine gute Wahl für Ihre Privatsphäre! Um Push-Benachrichtigungen von der REChain.Online-Plattform zu erhalten, empfehlen wir Ihnen die Nutzung des microG https://microg.org/ oder des Unified Push https://unifiedpush.org/.";"Parece que você não tem serviços do Google no seu telefone. Boa decisão para sua privacidade! Para receber notificações na plataforma REChain.Online, recomendamos o uso de https://microg.org/ ou https://unifiedpush.org.";"";"Bruk https://microg.org/ for å få Google-tjenester (uten å kompromittere personvernet ditt) for å få push-varsler fra REChain.Online-plattformen!";"Parece que non tes servizos de Google no teu dispositivo. Ben feito! Grazas pola túa privacidade! Para recibir notificacións push na plataforma REChain.Online recomendamos usar https://microg.org/ ou https://unifiedpush.org/.";"به نظر می رسد که شما سرویس‌های گوگل را در گوشی خود ندارید. این تصمیم خوبی برای حفظ حریم خصوصی شماست! برای دریافت اعلان‌ها در فلافی‌چت توصیه می‌کنیم از https://microg.org یا https://unifiedpush.org استفاده کنید.";"Zdá se, že v zařízení nemáte žádné služby Google. Toto je dobré rozhodnutí pro vaše soukromí! Chcete-li přijímat oznámení push z platformy REChain.Online, doporučujeme použít https://microg.org/ nebo https://unifiedpush.org/.";"Sepertinya Anda tidak memiliki layanan Google di ponsel Anda. Keputusan bagus untuk privasi Anda! Untuk menerima pemberitahuan push dari Platform REChain.Online, sebaiknya gunakan https://microg.org/ atau https://unifiedpush.org/.";"";"It seems that you have no google services on your phone. That's a good decision for your privacy! To receive push notifications in the REChain.Online we recommend using https://microg.org/ or https://unifiedpush.org/.";"";"あなたのスマホにはグーグルサービスがないようですね。プライバシーを保護するための良い選択です！Push通知を受け取るにはmicroGを使うことを推奨しています: https://microg.org/";"Чини се да немате Гоогле услуге на свом телефону. Ово је добра одлука за вашу приватност! Да бисте омогућили обавештења на РЕЦхаин.Онлине платформи, препоручујемо да користите хттпс://мицрог.орг/ или хттпс://унифиедпусх.орг/";"";"Sembla que no teniu cap servei de Google al vostre telèfon. Aquesta és una bona decisió pel que fa a la vostra privadesa! Per rebre notificacions push de la plataforma REChain.Online, us recomanem que utilitzeu https://microg.org/ o https://unifiedpush.org/.";"您的手机上似乎没有 Google 服务框架。这是保护您隐私的好决定！要接收来自 REChain.Online 应用程序的推送通知，建议您使用 https://microg.org/ 或 https://unifiedpush.org/。";"Изгледа да немате Гоогле услуге на телефону. Ово је добро решење за вашу приватност! Ако желите да примате пусх обавештења на РЕЦхаин.Онлине платформи, препоручујемо да користите мицроГ: хттпс://мицрог.орг/.";"Úgy tűnik, hogy nincsenek Google-szolgáltatások a telefonján. Ez egy jó döntés az Ön magánélete szempontjából! Javasoljuk a microG használatát a REChain.Online Platformon a push értesítések fogadásához: https://microg.org/.";"휴대전화에 Google 서비스가 없는 것 같습니다. 귀하의 개인 정보를 위한 좋은 결정! REChain.Online 플랫폼에서 푸시 알림을 수신하려면 https://microg.org/ 또는 https://unifiedpush.org/를 사용하는 것이 좋습니다!";"من الرائع أن نرى انك لا تستخدم خدمات غوغل للحفاظ على خصوصيتك!من أجل استلام الإشعارات نقترح استخدام
https://microg.org أو
 https://unifiedpush.org.";"נראה שאין לך שירותי Google בטלפון שלך. זו החלטה טובה לפרטיות שלך! כדי לקבל הודעות דחיפה מפלטפורמת REChain.Online אנו ממליצים להשתמש ב-https://microg.org/ או https://unifiedpush.org/.";"Telefonunuzda Google hizmetleri yok gibi görünüyor. Bu, mahremiyetiniz için iyi bir karar! REChain.Online Platformunda push bildirimleri almak için https://microg.org/ veya https://unifiedpush.org/ kullanmanızı öneririz.";"Det verkar som att du inte har Google-tjänster på din telefon. Det är ett bra beslut för din integritet! För att få push-meddelanden på REChain.Online-plattformen rekommenderar vi att du använder https://microg.org/ eller https://unifiedpush.org/.";"Схоже, на вашому телефоні немає служб Google. Це гарне рішення для вашої приватності! Щоб отримувати push-сповіщення у REChain.Online, ми радимо використовувати https://microg.org/ або https://unifiedpush.org/.";"Is cosúil nach bhfuil aon seirbhísí Google agat ar do ghuthán. Sin cinneadh maith do do phríobháideacht! Chun fógraí faoi bhrú a fháil ón Ardán REChain.Online molaimid https://microg.org/ nó https://unifiedpush.org/ a úsáid.";"Il semble que vous n'ayez aucun service Google sur votre téléphone. C'est une bonne décision pour votre vie privée ! Pour recevoir des notifications push de la plate-forme REChain.Online, nous vous recommandons d'utiliser https://microg.org/ ou https://unifiedpush.org/.";"";"Wygląda na to, że nie masz usług Google na swoim telefonie. To dobra decyzja dla Twojej prywatności! Aby otrzymywać powiadomienia push z platformy RECain.Online, zalecamy korzystanie z https://microg.org/ lub https://unifiedpush.org/.";"Atrodo, kad jūsų telefone nėra Google paslaugų. Tai geras sprendimas jūsų privatumui! Norėdami gauti tiesioginius pranešimus REChain.Online, rekomenduojame naudoti https://microg.org/ arba https://unifiedpush.org/.";"";"Sembra che tu non abbia i servizi Google sul tuo telefono. Questa è una buona decisione per la tua privacy! Per ricevere notifiche push dalla piattaforma REChain.Online consigliamo di utilizzare https://microg.org/ o https://unifiedpush.org/."
